WARNING http://cldf.clld.org/v1.0/terms.rdf#ValueTable http://cldf.clld.org/v1.0/terms.rdf#codeReference must be singlevalued
WARNING values.csv:41452:Source missing source key: applegate1966ineseno
WARNING values.csv:41503:Source missing source key: taylor1999
WARNING values.csv:41555:Source missing source key: hewitt1987georgian
WARNING values.csv:41776:Source missing source key: applegate1966ineseno
WARNING values.csv:41827:Source missing source key: taylor1999
WARNING values.csv:41879:Source missing source key: hewitt1987georgian
WARNING values.csv:42100:Source missing source key: applegate1966ineseno
WARNING values.csv:42151:Source missing source key: taylor1999
WARNING values.csv:42203:Source missing source key: hewitt1987georgian
WARNING values.csv:42424:Source missing source key: applegate1966ineseno
WARNING values.csv:42475:Source missing source key: taylor1999
WARNING values.csv:42527:Source missing source key: hewitt1987georgian
WARNING values.csv:42748:Source missing source key: applegate1966ineseno
WARNING values.csv:42799:Source missing source key: taylor1999
WARNING values.csv:42851:Source missing source key: hewitt1987georgian
WARNING values.csv:43072:Source missing source key: applegate1966ineseno
WARNING values.csv:43123:Source missing source key: taylor1999
WARNING values.csv:43175:Source missing source key: hewitt1987georgian
WARNING values.csv:43396:Source missing source key: applegate1966ineseno
WARNING values.csv:43447:Source missing source key: taylor1999
WARNING values.csv:43499:Source missing source key: hewitt1987georgian
WARNING values.csv:43720:Source missing source key: applegate1966ineseno
WARNING values.csv:43771:Source missing source key: taylor1999
WARNING values.csv:43823:Source missing source key: hewitt1987georgian
WARNING values.csv:44044:Source missing source key: applegate1966ineseno
WARNING values.csv:44095:Source missing source key: taylor1999
WARNING values.csv:44147:Source missing source key: hewitt1987georgian
WARNING values.csv:44368:Source missing source key: applegate1966ineseno
WARNING values.csv:44419:Source missing source key: taylor1999
WARNING values.csv:44471:Source missing source key: hewitt1987georgian
WARNING values.csv:44692:Source missing source key: applegate1966ineseno
WARNING values.csv:44743:Source missing source key: taylor1999
WARNING values.csv:44795:Source missing source key: hewitt1987georgian
WARNING values.csv:45016:Source missing source key: applegate1966ineseno
WARNING values.csv:45067:Source missing source key: taylor1999
WARNING values.csv:45119:Source missing source key: hewitt1987georgian
WARNING values.csv:45340:Source missing source key: applegate1966ineseno
WARNING values.csv:45391:Source missing source key: taylor1999
WARNING values.csv:45443:Source missing source key: hewitt1987georgian
WARNING values.csv:45664:Source missing source key: applegate1966ineseno
WARNING values.csv:45715:Source missing source key: taylor1999
WARNING values.csv:45767:Source missing source key: hewitt1987georgian
WARNING values.csv:45988:Source missing source key: applegate1966ineseno
WARNING values.csv:46039:Source missing source key: taylor1999
WARNING values.csv:46091:Source missing source key: hewitt1987georgian
WARNING values.csv:46312:Source missing source key: applegate1966ineseno
WARNING values.csv:46363:Source missing source key: taylor1999
WARNING values.csv:46415:Source missing source key: hewitt1987georgian
WARNING values.csv:46636:Source missing source key: applegate1966ineseno
WARNING values.csv:46687:Source missing source key: taylor1999
WARNING values.csv:46739:Source missing source key: hewitt1987georgian
WARNING values.csv:46960:Source missing source key: applegate1966ineseno
WARNING values.csv:47011:Source missing source key: taylor1999
WARNING values.csv:47063:Source missing source key: hewitt1987georgian
WARNING values.csv:47284:Source missing source key: applegate1966ineseno
WARNING values.csv:47335:Source missing source key: taylor1999
WARNING values.csv:47387:Source missing source key: hewitt1987georgian
WARNING values.csv:47608:Source missing source key: applegate1966ineseno
WARNING values.csv:47659:Source missing source key: taylor1999
WARNING values.csv:47711:Source missing source key: hewitt1987georgian
WARNING values.csv:47932:Source missing source key: applegate1966ineseno
WARNING values.csv:47983:Source missing source key: taylor1999
WARNING values.csv:48035:Source missing source key: hewitt1987georgian
WARNING values.csv:48256:Source missing source key: applegate1966ineseno
WARNING values.csv:48307:Source missing source key: taylor1999
WARNING values.csv:48359:Source missing source key: hewitt1987georgian
WARNING values.csv:48580:Source missing source key: applegate1966ineseno
WARNING values.csv:48631:Source missing source key: taylor1999
WARNING values.csv:48683:Source missing source key: hewitt1987georgian
WARNING values.csv:78618:Source missing source key: applegate1966ineseno
WARNING values.csv:78669:Source missing source key: taylor1999
WARNING values.csv:78721:Source missing source key: hewitt1987georgian
WARNING values.csv:78942:Source missing source key: applegate1966ineseno
WARNING values.csv:78993:Source missing source key: taylor1999
WARNING values.csv:79045:Source missing source key: hewitt1987georgian
WARNING values.csv:79266:Source missing source key: applegate1966ineseno
WARNING values.csv:79317:Source missing source key: taylor1999
WARNING values.csv:79369:Source missing source key: hewitt1987georgian
WARNING values.csv:79590:Source missing source key: applegate1966ineseno
WARNING values.csv:79641:Source missing source key: taylor1999
WARNING values.csv:79693:Source missing source key: hewitt1987georgian
WARNING values.csv:79914:Source missing source key: applegate1966ineseno
WARNING values.csv:79965:Source missing source key: taylor1999
WARNING values.csv:80017:Source missing source key: hewitt1987georgian
WARNING values.csv:80238:Source missing source key: applegate1966ineseno
WARNING values.csv:80289:Source missing source key: taylor1999
WARNING values.csv:80341:Source missing source key: hewitt1987georgian
WARNING values.csv:80562:Source missing source key: applegate1966ineseno
WARNING values.csv:80613:Source missing source key: taylor1999
WARNING values.csv:80665:Source missing source key: hewitt1987georgian
WARNING values.csv:80886:Source missing source key: applegate1966ineseno
WARNING values.csv:80937:Source missing source key: taylor1999
WARNING values.csv:80989:Source missing source key: hewitt1987georgian
WARNING values.csv:81210:Source missing source key: applegate1966ineseno
WARNING values.csv:81261:Source missing source key: taylor1999
WARNING values.csv:81313:Source missing source key: hewitt1987georgian
WARNING values.csv:81534:Source missing source key: applegate1966ineseno
WARNING values.csv:81585:Source missing source key: taylor1999
WARNING values.csv:81637:Source missing source key: hewitt1987georgian
WARNING values.csv:81858:Source missing source key: applegate1966ineseno
WARNING values.csv:81909:Source missing source key: taylor1999
WARNING values.csv:81961:Source missing source key: hewitt1987georgian
WARNING values.csv:82182:Source missing source key: applegate1966ineseno
WARNING values.csv:82233:Source missing source key: taylor1999
WARNING values.csv:82285:Source missing source key: hewitt1987georgian
WARNING values.csv:82506:Source missing source key: applegate1966ineseno
WARNING values.csv:82557:Source missing source key: taylor1999
WARNING values.csv:82609:Source missing source key: hewitt1987georgian
WARNING values.csv:82830:Source missing source key: applegate1966ineseno
WARNING values.csv:82881:Source missing source key: taylor1999
WARNING values.csv:82933:Source missing source key: hewitt1987georgian
WARNING values.csv:83154:Source missing source key: applegate1966ineseno
WARNING values.csv:83205:Source missing source key: taylor1999
WARNING values.csv:83257:Source missing source key: hewitt1987georgian
WARNING values.csv:83478:Source missing source key: applegate1966ineseno
WARNING values.csv:83529:Source missing source key: taylor1999
WARNING values.csv:83581:Source missing source key: hewitt1987georgian
WARNING values.csv:83802:Source missing source key: applegate1966ineseno
WARNING values.csv:83853:Source missing source key: taylor1999
WARNING values.csv:83905:Source missing source key: hewitt1987georgian
WARNING values.csv:84126:Source missing source key: applegate1966ineseno
WARNING values.csv:84177:Source missing source key: taylor1999
WARNING values.csv:84229:Source missing source key: hewitt1987georgian
WARNING values.csv:84450:Source missing source key: applegate1966ineseno
WARNING values.csv:84501:Source missing source key: taylor1999
WARNING values.csv:84553:Source missing source key: hewitt1987georgian
WARNING values.csv:84774:Source missing source key: applegate1966ineseno
WARNING values.csv:84825:Source missing source key: taylor1999
WARNING values.csv:84877:Source missing source key: hewitt1987georgian
WARNING values.csv:85098:Source missing source key: applegate1966ineseno
WARNING values.csv:85149:Source missing source key: taylor1999
WARNING values.csv:85201:Source missing source key: hewitt1987georgian
WARNING values.csv:85422:Source missing source key: applegate1966ineseno
WARNING values.csv:85473:Source missing source key: taylor1999
WARNING values.csv:85525:Source missing source key: hewitt1987georgian
WARNING values.csv:85746:Source missing source key: applegate1966ineseno
WARNING values.csv:85797:Source missing source key: taylor1999
WARNING values.csv:85849:Source missing source key: hewitt1987georgian
WARNING parameters.csv:76 Key `IndexAlign` not found in table featuresets.csv
WARNING parameters.csv:77 Key `IndexAlign` not found in table featuresets.csv
WARNING parameters.csv:78 Key `IndexAlign` not found in table featuresets.csv
WARNING parameters.csv:79 Key `IndexAlign` not found in table featuresets.csv
WARNING parameters.csv:80 Key `IndexAlign` not found in table featuresets.csv
WARNING parameters.csv:81 Key `IndexAlign` not found in table featuresets.csv
WARNING parameters.csv:82 Key `IndexAlign` not found in table featuresets.csv
WARNING parameters.csv:83 Key `IndexAlign` not found in table featuresets.csv
WARNING parameters.csv:84 Key `IndexAlign` not found in table featuresets.csv
WARNING parameters.csv:85 Key `IndexAlign` not found in table featuresets.csv
WARNING parameters.csv:86 Key `IndexAlign` not found in table featuresets.csv
WARNING parameters.csv:87 Key `IndexAlign` not found in table featuresets.csv
WARNING parameters.csv:88 Key `IndexAlign` not found in table featuresets.csv
WARNING parameters.csv:89 Key `IndexAlign` not found in table featuresets.csv
WARNING parameters.csv:90 Key `IndexAlign` not found in table featuresets.csv
WARNING parameters.csv:91 Key `IndexAlign` not found in table featuresets.csv
WARNING parameters.csv:92 Key `IndexAlign` not found in table featuresets.csv
WARNING parameters.csv:93 Key `IndexAlign` not found in table featuresets.csv
WARNING parameters.csv:94 Key `IndexAlign` not found in table featuresets.csv
WARNING parameters.csv:95 Key `IndexAlign` not found in table featuresets.csv
WARNING parameters.csv:96 Key `IndexAlign` not found in table featuresets.csv
WARNING parameters.csv:97 Key `IndexAlign` not found in table featuresets.csv
WARNING parameters.csv:98 Key `IndexAlign` not found in table featuresets.csv
WARNING parameters.csv:129 Key `NounAlign` not found in table featuresets.csv
WARNING parameters.csv:130 Key `NounAlign` not found in table featuresets.csv
WARNING parameters.csv:131 Key `NounAlign` not found in table featuresets.csv
WARNING parameters.csv:132 Key `NounAlign` not found in table featuresets.csv
WARNING parameters.csv:133 Key `NounAlign` not found in table featuresets.csv
WARNING parameters.csv:134 Key `NounAlign` not found in table featuresets.csv
WARNING parameters.csv:135 Key `NounAlign` not found in table featuresets.csv
WARNING parameters.csv:136 Key `NounAlign` not found in table featuresets.csv
WARNING parameters.csv:137 Key `NounAlign` not found in table featuresets.csv
WARNING parameters.csv:138 Key `NounAlign` not found in table featuresets.csv
WARNING parameters.csv:139 Key `NounAlign` not found in table featuresets.csv
WARNING parameters.csv:140 Key `NounAlign` not found in table featuresets.csv
WARNING parameters.csv:141 Key `NounAlign` not found in table featuresets.csv
WARNING parameters.csv:142 Key `NounAlign` not found in table featuresets.csv
WARNING parameters.csv:143 Key `NounAlign` not found in table featuresets.csv
WARNING parameters.csv:144 Key `NounAlign` not found in table featuresets.csv
WARNING parameters.csv:145 Key `NounAlign` not found in table featuresets.csv
WARNING parameters.csv:146 Key `NounAlign` not found in table featuresets.csv
WARNING parameters.csv:147 Key `NounAlign` not found in table featuresets.csv
WARNING parameters.csv:148 Key `NounAlign` not found in table featuresets.csv
WARNING parameters.csv:149 Key `NounAlign` not found in table featuresets.csv
WARNING parameters.csv:150 Key `NounAlign` not found in table featuresets.csv
WARNING parameters.csv:151 Key `NounAlign` not found in table featuresets.csv
WARNING parameters.csv:242 Key `ProAlign` not found in table featuresets.csv
WARNING parameters.csv:243 Key `ProAlign` not found in table featuresets.csv
WARNING parameters.csv:244 Key `ProAlign` not found in table featuresets.csv
WARNING parameters.csv:245 Key `ProAlign` not found in table featuresets.csv
WARNING parameters.csv:246 Key `ProAlign` not found in table featuresets.csv
WARNING parameters.csv:247 Key `ProAlign` not found in table featuresets.csv
WARNING parameters.csv:248 Key `ProAlign` not found in table featuresets.csv
WARNING parameters.csv:249 Key `ProAlign` not found in table featuresets.csv
WARNING parameters.csv:250 Key `ProAlign` not found in table featuresets.csv
WARNING parameters.csv:251 Key `ProAlign` not found in table featuresets.csv
WARNING parameters.csv:252 Key `ProAlign` not found in table featuresets.csv
WARNING parameters.csv:253 Key `ProAlign` not found in table featuresets.csv
WARNING parameters.csv:254 Key `ProAlign` not found in table featuresets.csv
WARNING parameters.csv:255 Key `ProAlign` not found in table featuresets.csv
WARNING parameters.csv:256 Key `ProAlign` not found in table featuresets.csv
WARNING parameters.csv:257 Key `ProAlign` not found in table featuresets.csv
WARNING parameters.csv:258 Key `ProAlign` not found in table featuresets.csv
WARNING parameters.csv:259 Key `ProAlign` not found in table featuresets.csv
WARNING parameters.csv:260 Key `ProAlign` not found in table featuresets.csv
WARNING parameters.csv:261 Key `ProAlign` not found in table featuresets.csv
WARNING parameters.csv:262 Key `ProAlign` not found in table featuresets.csv
WARNING parameters.csv:263 Key `ProAlign` not found in table featuresets.csv
WARNING parameters.csv:264 Key `ProAlign` not found in table featuresets.csv
