"CodeID","ParameterID","Description","icons"
"yes_Align-01","Align-01","yes","#e03a3a"
"no_Align-01","Align-01","no","#b3b3b3"
"?_Align-01","Align-01","?",
"UNCODED_Align-01","Align-01","UNCODED",
"ERROR_Align-01","Align-01","ERROR",
"yes_Align-02","Align-02","yes","#e03a3a"
"no_Align-02","Align-02","no","#b3b3b3"
"?_Align-02","Align-02","?",
"UNCODED_Align-02","Align-02","UNCODED",
"ERROR_Align-02","Align-02","ERROR",
"yes_Align-03","Align-03","yes","#e03a3a"
"no_Align-03","Align-03","no","#b3b3b3"
"?_Align-03","Align-03","?",
"UNCODED_Align-03","Align-03","UNCODED",
"ERROR_Align-03","Align-03","ERROR",
"yes_Align-04","Align-04","yes","#e03a3a"
"no_Align-04","Align-04","no","#b3b3b3"
"?_Align-04","Align-04","?",
"UNCODED_Align-04","Align-04","UNCODED",
"ERROR_Align-04","Align-04","ERROR",
"NA_Align-05","Align-05","NA",
"yes_Align-05","Align-05","yes","#e03a3a"
"no_Align-05","Align-05","no","#b3b3b3"
"?_Align-05","Align-05","?",
"UNCODED_Align-05","Align-05","UNCODED",
"ERROR_Align-05","Align-05","ERROR",
"NA_Align-06","Align-06","NA",
"yes_Align-06","Align-06","yes","#e03a3a"
"no_Align-06","Align-06","no","#b3b3b3"
"?_Align-06","Align-06","?",
"UNCODED_Align-06","Align-06","UNCODED",
"ERROR_Align-06","Align-06","ERROR",
"NA_Align-07","Align-07","NA",
"yes_Align-07","Align-07","yes","#e03a3a"
"no_Align-07","Align-07","no","#b3b3b3"
"?_Align-07","Align-07","?",
"UNCODED_Align-07","Align-07","UNCODED",
"ERROR_Align-07","Align-07","ERROR",
"yes_Align-08","Align-08","yes","#e03a3a"
"no_Align-08","Align-08","no","#b3b3b3"
"?_Align-08","Align-08","?",
"UNCODED_Align-08","Align-08","UNCODED",
"ERROR_Align-08","Align-08","ERROR",
"NA_Align-09","Align-09","NA",
"yes_Align-09","Align-09","yes","#e03a3a"
"no_Align-09","Align-09","no","#b3b3b3"
"?_Align-09","Align-09","?",
"UNCODED_Align-09","Align-09","UNCODED",
"ERROR_Align-09","Align-09","ERROR",
"no-marking_Align-10","Align-10","no marking","#eec70d"
"accusative_Align-10","Align-10","accusative","#1672d6"
"ergative_Align-10","Align-10","ergative","#e1353d"
"overt-neutral_Align-10","Align-10","overt neutral","#32a784"
"tripartite_Align-10","Align-10","tripartite","#5aff00"
"horizontal_Align-10","Align-10","horizontal","#533d72"
"sensitive_Align-10","Align-10","sensitive","#e53bae"
"?_Align-10","Align-10","?",
"UNCODED_Align-10","Align-10","UNCODED",
"ERROR_Align-10","Align-10","ERROR",
"no-marking_Align-11","Align-11","no marking","#f3cb16"
"accusative_Align-11","Align-11","accusative","#0d75d6"
"ergative_Align-11","Align-11","ergative","#df3b32"
"overt-neutral_Align-11","Align-11","overt neutral","#2aa782"
"tripartite_Align-11","Align-11","tripartite","#76fe00"
"horizontal_Align-11","Align-11","horizontal","#5d4063"
"sensitive_Align-11","Align-11","sensitive","#e23bad"
"NA_Align-11","Align-11","NA",
"?_Align-11","Align-11","?",
"UNCODED_Align-11","Align-11","UNCODED",
"ERROR_Align-11","Align-11","ERROR",
"no-marking_Align-12","Align-12","no marking","#f5cb16"
"accusative_Align-12","Align-12","accusative","#1670d3"
"ergative_Align-12","Align-12","ergative","#dd3835"
"overt-neutral_Align-12","Align-12","overt neutral","#1ca781"
"tripartite_Align-12","Align-12","tripartite","#49fd16"
"horizontal_Align-12","Align-12","horizontal","#623d6a"
"sensitive_Align-12","Align-12","sensitive","#e63dae"
"NA_Align-12","Align-12","NA",
"?_Align-12","Align-12","?",
"UNCODED_Align-12","Align-12","UNCODED",
"ERROR_Align-12","Align-12","ERROR",
"no-marking_Align-13","Align-13","no marking","#edc500"
"accusative_Align-13","Align-13","accusative","#0d71d0"
"ergative_Align-13","Align-13","ergative","#e03d3d"
"overt-neutral_Align-13","Align-13","overt neutral","#00a27e"
"tripartite_Align-13","Align-13","tripartite","#2afe0d"
"horizontal_Align-13","Align-13","horizontal","#5f3869"
"sensitive_Align-13","Align-13","sensitive","#e235ad"
"?_Align-13","Align-13","?",
"UNCODED_Align-13","Align-13","UNCODED",
"ERROR_Align-13","Align-13","ERROR",
"no-marking_Align-14","Align-14","no marking","#f2c800"
"accusative_Align-14","Align-14","accusative","#2a71d2"
"ergative_Align-14","Align-14","ergative","#e43d3d"
"overt-neutral_Align-14","Align-14","overt neutral","#2ea681"
"tripartite_Align-14","Align-14","tripartite","#00fe0d"
"horizontal_Align-14","Align-14","horizontal","#654068"
"sensitive_Align-14","Align-14","sensitive","#e640b2"
"NA_Align-14","Align-14","NA",
"?_Align-14","Align-14","?",
"UNCODED_Align-14","Align-14","UNCODED",
"ERROR_Align-14","Align-14","ERROR",
"no-marking_Align-15","Align-15","no marking","#edc500"
"accusative_Align-15","Align-15","accusative","#1c70d7"
"ergative_Align-15","Align-15","ergative","#de3b3d"
"overt-neutral_Align-15","Align-15","overt neutral","#0da583"
"tripartite_Align-15","Align-15","tripartite","#22fc0d"
"horizontal_Align-15","Align-15","horizontal","#633d72"
"sensitive_Align-15","Align-15","sensitive","#ec42b2"
"NA_Align-15","Align-15","NA",
"?_Align-15","Align-15","?",
"UNCODED_Align-15","Align-15","UNCODED",
"ERROR_Align-15","Align-15","ERROR",
"no-marking_Align-16","Align-16","no marking","#f7cf2a"
"accusative_Align-16","Align-16","accusative","#006ed2"
"ergative_Align-16","Align-16","ergative","#df353d"
"overt-neutral_Align-16","Align-16","overt neutral","#22a383"
"tripartite_Align-16","Align-16","tripartite","#3dff16"
"horizontal_Align-16","Align-16","horizontal","#5a3d69"
"sensitive_Align-16","Align-16","sensitive","#e640b2"
"?_Align-16","Align-16","?",
"UNCODED_Align-16","Align-16","UNCODED",
"ERROR_Align-16","Align-16","ERROR",
"no-marking_Align-17","Align-17","no marking","#f2cc22"
"accusative_Align-17","Align-17","accusative","#1670d2"
"ergative_Align-17","Align-17","ergative","#d53232"
"overt-neutral_Align-17","Align-17","overt neutral","#16a17f"
"tripartite_Align-17","Align-17","tripartite","#42fe00"
"horizontal_Align-17","Align-17","horizontal","#5d406e"
"sensitive_Align-17","Align-17","sensitive","#e238ab"
"NA_Align-17","Align-17","NA",
"?_Align-17","Align-17","?",
"UNCODED_Align-17","Align-17","UNCODED",
"ERROR_Align-17","Align-17","ERROR",
"no-marking_Align-18","Align-18","no marking","#eec716"
"accusative_Align-18","Align-18","accusative","#006ed4"
"ergative_Align-18","Align-18","ergative","#e84547"
"overt-neutral_Align-18","Align-18","overt neutral","#16a784"
"tripartite_Align-18","Align-18","tripartite","#3dff0d"
"horizontal_Align-18","Align-18","horizontal","#584065"
"sensitive_Align-18","Align-18","sensitive","#e438ad"
"NA_Align-18","Align-18","NA",
"?_Align-18","Align-18","?",
"UNCODED_Align-18","Align-18","UNCODED",
"ERROR_Align-18","Align-18","ERROR",
"yes_Appr-01","Appr-01","yes","#e03a3a"
"no_Appr-01","Appr-01","no","#b3b3b3"
"?_Appr-01","Appr-01","?",
"UNCODED_Appr-01","Appr-01","UNCODED",
"ERROR_Appr-01","Appr-01","ERROR",
"yes_Appr-02","Appr-02","yes","#e03a3a"
"no_Appr-02","Appr-02","no","#b3b3b3"
"NA_Appr-02","Appr-02","NA",
"?_Appr-02","Appr-02","?",
"UNCODED_Appr-02","Appr-02","UNCODED",
"ERROR_Appr-02","Appr-02","ERROR",
"NA_Appr-03","Appr-03","NA",
"1_Appr-03","Appr-03","1","#0d6fd1"
"2_Appr-03","Appr-03","2","#e03a3a"
"3_Appr-03","Appr-03","3","#462255"
"?_Appr-03","Appr-03","?",
"UNCODED_Appr-03","Appr-03","UNCODED",
"ERROR_Appr-03","Appr-03","ERROR",
"threat-only_Appr-04","Appr-04","threat only","#e03a3a"
"warning-only_Appr-04","Appr-04","warning only","#462255"
"any_Appr-04","Appr-04","any","#0d6fd1"
"NA_Appr-04","Appr-04","NA",
"?_Appr-04","Appr-04","?",
"UNCODED_Appr-04","Appr-04","UNCODED",
"ERROR_Appr-04","Appr-04","ERROR",
"no_Appr-05","Appr-05","no","#e03a3a"
"direct-control_Appr-05","Appr-05","direct control","#0d6fd1"
"other_Appr-05","Appr-05","other","#462255"
"NA_Appr-05","Appr-05","NA",
"?_Appr-05","Appr-05","?",
"UNCODED_Appr-05","Appr-05","UNCODED",
"ERROR_Appr-05","Appr-05","ERROR",
"yes_Appr-06","Appr-06","yes","#e03a3a"
"no_Appr-06","Appr-06","no","#b3b3b3"
"NA_Appr-06","Appr-06","NA",
"?_Appr-06","Appr-06","?",
"UNCODED_Appr-06","Appr-06","UNCODED",
"ERROR_Appr-06","Appr-06","ERROR",
"yes_Appr-07","Appr-07","yes","#e03a3a"
"no_Appr-07","Appr-07","no","#b3b3b3"
"NA_Appr-07","Appr-07","NA",
"?_Appr-07","Appr-07","?",
"UNCODED_Appr-07","Appr-07","UNCODED",
"ERROR_Appr-07","Appr-07","ERROR",
"yes_Appr-08","Appr-08","yes","#e03a3a"
"no_Appr-08","Appr-08","no","#b3b3b3"
"NA_Appr-08","Appr-08","NA",
"?_Appr-08","Appr-08","?",
"UNCODED_Appr-08","Appr-08","UNCODED",
"ERROR_Appr-08","Appr-08","ERROR",
"yes_Appr-09","Appr-09","yes","#e03a3a"
"no_Appr-09","Appr-09","no","#b3b3b3"
"NA_Appr-09","Appr-09","NA",
"?_Appr-09","Appr-09","?",
"UNCODED_Appr-09","Appr-09","UNCODED",
"ERROR_Appr-09","Appr-09","ERROR",
"yes_Appr-10","Appr-10","yes","#e03a3a"
"no_Appr-10","Appr-10","no","#b3b3b3"
"NA_Appr-10","Appr-10","NA",
"?_Appr-10","Appr-10","?",
"UNCODED_Appr-10","Appr-10","UNCODED",
"ERROR_Appr-10","Appr-10","ERROR",
"yes_Appr-11","Appr-11","yes","#e03a3a"
"no_Appr-11","Appr-11","no","#b3b3b3"
"NA_Appr-11","Appr-11","NA",
"?_Appr-11","Appr-11","?",
"UNCODED_Appr-11","Appr-11","UNCODED",
