FeatureSetID,Name,Domain,Authors,Contributors,Filename
Appr,Apprehensional Morphology,Morphosyntax,MV,MV;DP;KPVD,
Attr,Attributives,Morphosyntax,,NM,
Coarg,Coargument Diathesis,Morphosyntax,DI;BB,DI;BB;NCP;KB;MV,
Cor,Coronal Consonants,Phonology,DI;KPVD,,
Dem,Demonstratives,Morphosyntax,DI;MV,DI;MV;NCP;AG;NM;KPVD,
Gend,Genderlects,Morphosyntax,FR;MV,FR;MV;NCP;DI;OCD,
Glot,Glottalized Consonants,Phonology,DI;KPVD,DI;KPVD;NCP;MV;AG,
ITM,Indirect Transitivity Marking,Morphosyntax,MV;RZ,MV;RZ,
Lat,Laterals,Phonology,KPVD;DI,KPVD;DI;NCP;MV;AG;SH,
MonPl,Monoexponential Verbal Plurals,Morphosyntax,MV;DI;NCP;BB,MV;DI;NCP;SH;AG;BB,
NounPoss,Noun Possession Classes,Moprhosyntax,DI;NCP;BB,DI;NCP;BB;TH;AM,
Ppron,Personal Pronouns,,NCP;DI;MV;BB,NCP;DI;MV;BB;AG;KPVD;NM,
PredNom,Predicative Nominals,Morphosyntax,DI;BB,DI;BB;KB;MV;NCP,
SgPl,Singular-Plural Alternation,Morphosyntax,DI;MV,DI;MV;BB;SH;AG,
SocCaus,Sociative Causative,Morphosyntax,MV;FR,MV;FR;OCD;???,
Syll,Syllable Structure,Phonology,SE,SE;MV;NCP;DI,
ToneProm,Tone and Prominence,Phonology,KPVD,KPVD;AG,
VelUv,Velar-Uvular distinction,Phonology,DI,DI;KPVD;NCP;MV;AG,
WO,Word Order,Morphosyntax,DI,DI;NCP;MV;NM,
Align,Alignment,Morphosyntax,AWM;DI;MV;NCP;BB,AWM;DI;MV;NCP;HT;BB,
CoPart,Co-participation,Morphosyntax,FR;MV,FR;MV;OCD;DI;NJM;KPVD;DP;RL,
