"Glottocode","Name","Macroarea","Latitude","Longitude","ISO639P3code","Level","Family_ID","Language_ID","Is_Isolate","Family_Name","Isolates_Balanced_Sample","Isolates_Sample","American_Sample","Worldwide_Sample","North_American_Split_Sample","South_American_Split_Sample","North_American_Universal_Sample","South_American_Universal_Sample","North_America_25_SALSA_Sample","Noun_Poss_Sample"
"fuln1247","Fulniô","South America",-9.02591,-37.1402,"fun","language","","","true",,"1","1","1",,,"1",,,,
"tonk1249","Tonkawa","North America",30.25,-96.75,"tqw","language","","","true",,,"1","1",,"1",,,,,
"klam1254","Klamath-Modoc","North America",42.5861,-121.704,"kla","language","","","true",,,"1","1",,"1",,,,,
"natc1249","Natchez","North America",31.75,-91.33,"ncz","language","","","true",,,"1","1",,"1",,,,,
"cams1241","Camsá","South America",1.14537,-76.8931,"kbh","language","","","true",,,,"1",,,"1",,,,
"muni1258","Muniche","South America",-5.7441796,-76.426712,"myr","language","","","true",,,"1","1",,,"1",,"1",,
"trum1247","Trumai","South America",-11.8119,-53.5717,"tpy","language","","","true",,,"1","1",,,"1",,,,
"niha1238","Nihali","Eurasia",21.1886,76.3318,"nll","language","","","true",,"1","1",,"1",,,,,,
"cofa1242","Cofán","South America",0.276675,-77.0643,"con","language","","","true",,,,"1",,,"1",,,,
"shab1252","Shabo","Africa",7.64407,35.223,"sbf","language","","","true",,"1","1",,"1",,,,,,
"cuit1236","Cuitlatec","North America",18.1,-100.5,"cuy","language","","","true",,"1","1","1",,"1","1",,,,"1"
"sand1273","Sandawe","Africa",-5.26918,35.4808,"sad","language","","","true",,"1","1",,"1",,,,,,"1"
"kusu1250","Kusunda","Eurasia",28.33,82.6,"kgg","language","","","true",,"1","1",,"1",,,,,,"1"
"tabo1241","Tabo","Papunesia",-8.09387,143.305,"knv","language","","","true",,"1","1",,"1",,,,,,
"duna1248","Duna","Papunesia",-5.41439,142.475,"duc","language","","","true",,"1","1",,"1",,,,,,"1"
"zuni1245","Zuni","North America",35.0056,-108.782,"zun","language","","","true",,"1","1","1",,"1",,,,"1",
"puin1248","Puinave","South America",3.92974,-67.6886,"pui","language","","","true",,"1","1","1",,,"1",,"1",,
"chim1301","Chimariko","North America",41,-123,"cid","language","","","true",,,"1","1",,"1",,"1",,,"1"
"kuot1243","Kuot","Papunesia",-3.06952,151.537,"kto","language","","","true",,"1","1",,"1",,,,,,"1"
"yuch1247","Yuchi","North America",35.75,-86.75,"yuc","language","","","true",,,"1","1",,"1",,"1",,,
"paez1247","Páez","South America",2.61516,-76.31254,"pbb","language","","","true",,"1","1","1",,,"1",,,,
"tiwi1244","Tiwi","Australia",-11.6308,130.949,"tiw","language","","","true",,"1","1",,"1",,,,,,
"leco1242","Leco","South America",-15.0092,-67.8818,"lec","language","","","true",,"1","1","1",,,"1",,,,
"guat1253","Guató","South America",-17.8696,-57.2897,"gta","language","","","true",,,"1","1",,,"1",,,,"1"
"buru1296","Burushaski","Eurasia",36.2161,74.8236,"bsk","language","","","true",,"1","1",,"1",,,,,,
"nara1262","Nara","Africa",15.3251,37.499,"nrb","language","","","true",,"1","1",,"1",,,,,,"1"
"sume1241","Sumerian","Eurasia",31.3,45.6667,"sux","language","","","true",,"1","1",,"1",,,,,,
"esse1238","Esselen","North America",36.5473,-121.867,"esq","language","","","true",,,,"1",,"1",,,,,
"iton1250","Itonama","South America",-12.80431,-64.35748,"ito","language","","","true",,,"1","1",,,"1",,,,
"hadz1240","Hadza","Africa",-3.83115,35.0458,"hts","language","","","true",,"1","1",,"1",,,,,,"1"
"moch1259","Mochica","South America",-8.01667,-79,"omc","language","","","true",,,,"1",,,"1",,,,
"sius1254","Siuslaw","North America",42.5111,-124.379,"sis","language","","","true",,"1","1","1",,"1",,"1",,,
"tuni1252","Tunica","North America",30.9888,-92.5403,"tun","language","","","true",,"1","1","1",,"1",,"1",,"1",
"lavu1241","Lavukaleve","Papunesia",-9.05569,159.119,"lvk","language","","","true",,"1","1",,"1",,,,,,"1"
"timu1245","Timucua","North America",30.3027,-82.3132,"tjm","language","","","true",,"1","1","1",,"1",,"1",,"1",
"sulk1246","Sulka","Papunesia",-5.03471,151.891,"sua","language","","","true",,"1","1",,"1",,,,,,"1"
