"ParameterID","FeatureSet","Name","Question","PossibleValues","datatype","Derived","Map"
"Align.Index-01","Align","Indexing alignment majority","What is the majority (>50%) alignment for Indexing?","no marking | accusative | ergative | overt neutral | tripartite | horizontal | sensitive","""single-valued""","TRUE",
"Align.Index-02","Align","Indexing alignment split-S","Is there a Split-S system for Indexing?","yes | no","""single-valued""","TRUE",
"Align.Index-03","Align","Indexing exemplar alignments","What are the exemplar alignments for Indexing?","; separated list of [ no marking:_frequency_ , accusative:_frequency_ , ergative:_frequency_ , overt neutral:_frequency_ , tripartite:_frequency_ , horizontal:_frequency_ , sensitive:_frequency_ ] | NA","""frequency""","TRUE",
"Align.Index-04","Align","Indexing non-exemplar alignments","What are the non-exemplar alignments for Indexing?","; separated list of [ no marking:_frequency_ , accusative:_frequency_ , ergative:_frequency_ , overt neutral:_frequency_ , tripartite:_frequency_ , horizontal:_frequency_ , sensitive:_frequency_ ] | NA","""frequency""","TRUE",
"Align.Index-05","Align","Indexing alignment no marking","Is there any no marking for Indexing?","yes | no","""single-valued""","TRUE",
"Align.Index-06","Align","Indexing alignment accusative","Is there any accusative for Indexing?","yes | no","""single-valued""","TRUE",
"Align.Index-07","Align","Indexing alignment ergative","Is there any ergative for Indexing?","yes | no","""single-valued""","TRUE",
"Align.Index-08","Align","Indexing alignment overt neutral","Is there any overt neutral for Indexing?","yes | no","""single-valued""","TRUE",
"Align.Index-09","Align","Indexing alignment tripartite","Is there any tripartite for Indexing?","yes | no","""single-valued""","TRUE",
"Align.Index-10","Align","Indexing alignment horizontal","Is there any horizontal for Indexing?","yes | no","""single-valued""","TRUE",
"Align.Index-11","Align","Indexing alignment sensitive","Is there any sensitive for Indexing?","yes | no","""single-valued""","TRUE",
"Align.Noun-01","Align","Noun alignment majority","What is the majority (>50%) alignment for Noun?","no marking | accusative | ergative | overt neutral | tripartite | horizontal | sensitive","""single-valued""","TRUE",
"Align.Noun-02","Align","Noun alignment split-S","Is there a Split-S system for Noun?","yes | no","""single-valued""","TRUE",
"Align.Noun-03","Align","Noun exemplar alignments","What are the exemplar alignments for Noun?","; separated list of [ no marking:_frequency_ , accusative:_frequency_ , ergative:_frequency_ , overt neutral:_frequency_ , tripartite:_frequency_ , horizontal:_frequency_ , sensitive:_frequency_ ] | NA","""frequency""","TRUE",
"Align.Noun-04","Align","Noun non-exemplar alignments","What are the non-exemplar alignments for Noun?","; separated list of [ no marking:_frequency_ , accusative:_frequency_ , ergative:_frequency_ , overt neutral:_frequency_ , tripartite:_frequency_ , horizontal:_frequency_ , sensitive:_frequency_ ] | NA","""frequency""","TRUE",
"Align.Noun-05","Align","Noun alignment no marking","Is there any no marking for Noun?","yes | no","""single-valued""","TRUE",
"Align.Noun-06","Align","Noun alignment accusative","Is there any accusative for Noun?","yes | no","""single-valued""","TRUE",
"Align.Noun-07","Align","Noun alignment ergative","Is there any ergative for Noun?","yes | no","""single-valued""","TRUE",
"Align.Noun-08","Align","Noun alignment overt neutral","Is there any overt neutral for Noun?","yes | no","""single-valued""","TRUE",
"Align.Noun-09","Align","Noun alignment tripartite","Is there any tripartite for Noun?","yes | no","""single-valued""","TRUE",
"Align.Noun-10","Align","Noun alignment horizontal","Is there any horizontal for Noun?","yes | no","""single-valued""","TRUE",
"Align.Noun-11","Align","Noun alignment sensitive","Is there any sensitive for Noun?","yes | no","""single-valued""","TRUE",
"Align.Pro-01","Align","Pronoun alignment majority","What is the majority (>50%) alignment for Pronoun?","no marking | accusative | ergative | overt neutral | tripartite | horizontal | sensitive","""single-valued""","TRUE",
"Align.Pro-02","Align","Pronoun alignment split-S","Is there a Split-S system for Pronoun?","yes | no","""single-valued""","TRUE",
"Align.Pro-03","Align","Pronoun exemplar alignments","What are the exemplar alignments for Pronoun?","; separated list of [ no marking:_frequency_ , accusative:_frequency_ , ergative:_frequency_ , overt neutral:_frequency_ , tripartite:_frequency_ , horizontal:_frequency_ , sensitive:_frequency_ ] | NA","""frequency""","TRUE",
"Align.Pro-04","Align","Pronoun non-exemplar alignments","What are the non-exemplar alignments for Pronoun?","; separated list of [ no marking:_frequency_ , accusative:_frequency_ , ergative:_frequency_ , overt neutral:_frequency_ , tripartite:_frequency_ , horizontal:_frequency_ , sensitive:_frequency_ ] | NA","""frequency""","TRUE",
"Align.Pro-05","Align","Pronoun alignment no marking","Is there any no marking for Pronoun?","yes | no","""single-valued""","TRUE",
"Align.Pro-06","Align","Pronoun alignment accusative","Is there any accusative for Pronoun?","yes | no","""single-valued""","TRUE",
"Align.Pro-07","Align","Pronoun alignment ergative","Is there any ergative for Pronoun?","yes | no","""single-valued""","TRUE",
